subject_gait,take_id,mpjpe_3d,mpjpe_raw,dtw_3d_traj,mpjre,dtw_6d_transl,mpjpe_6d,jitter_c1,jitter_c2,pampjpe_3d,pampjpe_6d,action
gait_052,20250912_c1_a3_Take1,0.1971554030783043,0.18637297095156374,0.125019142373031,0.21607016145277438,0.1295601315822863,0.16513659964440508,323.4688415527344,307.2319641113281,0.06670922250661725,0.04813270087575852,a3
gait_052,20250912_c1_a3_Take2,0.16254637007360248,0.154707165035872,0.107345768646686,0.18591166021611602,0.11010726515155986,0.14179391003141922,303.1080322265625,294.1060485839844,0.05020912747825298,0.037284550307905305,a3
gait_052,20250912_c1_a4_Take1,0.10078840490844218,0.0957300760964674,0.06158702726802753,0.21343484843513122,0.0656828789277711,0.09421836428243795,359.1009521484375,315.2694091796875,0.04653433413957388,0.041609856946027805,a4
gait_052,20250912_c1_a4_Take2,0.17299834485723267,0.1625330244304235,0.11077481085783657,0.19763498885474098,0.10719541546909828,0.12863006045001382,355.19281005859375,345.6481628417969,0.03616508323976096,0.029525034337212982,a4
gait_052,20250912_c1_a5_Take1,0.208621494018851,0.19787442734490704,0.09999179580303487,0.24231770617769624,0.09722768647556981,0.18786663652478897,284.9578857421875,274.2575988769531,0.06464918752212565,0.05319900152585227,a5
gait_052,20250912_c1_a5_Take2,0.11127553081654314,0.10552867244775589,0.06112914787463628,0.20079268562628944,0.0582069946126838,0.0967061035517149,274.4659423828125,260.0886535644531,0.04477709494801862,0.040956624666658836,a5
gait_114,20251222_c1_a1_Take1,0.1994892041875805,0.18768638524211018,0.040965062680864125,0.1384447886594568,0.035831408928713684,0.16677775666005304,349.2860412597656,324.68646240234375,0.06495802331308255,0.047907537475195765,a1
gait_114,20251222_c1_a1_Take2,0.1638118041727942,0.15595501694805475,0.04432192718292769,0.1362210404737127,0.04529690578889579,0.15043044543330328,324.21014404296875,323.98968505859375,0.034939737204860544,0.032420249322750824,a1
gait_114,20251222_c1_a2_Take1,0.06859787999988648,0.06560120767681318,0.027542060538032896,0.09171678151773587,0.02900646522220524,0.06567348983220259,368.85595703125,375.99981689453125,0.0255225539409049,0.021980903093454438,a2
gait_114,20251222_c1_a2_Take2,0.2006012022902408,0.18862998190959543,0.05510837193659494,0.18196857396034818,0.05588194547295167,0.15654898469345638,419.5293884277344,393.59515380859375,0.054156973275884375,0.04238129979176068,a2
gait_114,20251222_c1_a3_Take1,0.12538481286561695,0.11914893777498604,0.04154851414447649,0.1383662888708447,0.04621998807672149,0.10775379236959912,327.9479675292969,294.05377197265625,0.048462015070661356,0.036111190093399574,a3
gait_114,20251222_c1_a3_Take2,0.13119131955369095,0.12478414989584129,0.14556565380280448,0.14613026801794304,0.18417512588247317,0.12005567530617196,329.26336669921875,302.5349426269531,0.04201020091374957,0.033620507923501075,a3
gait_114,20251222_c1_a3_Take3,0.13169115607126292,0.12431267126877556,0.05643292178766376,0.1612692296121406,0.054846741923541636,0.11265079137615319,331.3879089355469,313.9110412597656,0.05145877000066383,0.03926050674180728,a3
gait_114,20251222_c1_a4_Take1,0.07721769673133887,0.0732726627310479,0.040743747012529634,0.1552056505197761,0.03933529903723687,0.06899579888359711,358.8724365234375,359.6387023925781,0.021743578900981168,0.020914198155060307,a4
